Date,Open,High,Low,Close
07/16/2021,"15,958.35","15,962.25","15,882.60","15,923.40"
07/15/2021,"15,872.15","15,952.35","15,855.00","15,924.20"
07/14/2021,"15,808.70","15,877.35","15,764.20","15,853.95"
07/13/2021,"15,794.00","15,820.80","15,744.60","15,812.35"
07/12/2021,"15,766.80","15,789.20","15,644.75","15,692.60"
07/09/2021,"15,688.25","15,730.85","15,632.75","15,689.80"
07/08/2021,"15,855.40","15,885.75","15,682.90","15,727.90"
07/07/2021,"15,819.60","15,893.55","15,779.70","15,879.65"
07/06/2021,"15,813.75","15,914.20","15,801.00","15,818.25"
07/05/2021,"15,793.40","15,845.95","15,762.05","15,834.35"
07/02/2021,"15,705.85","15,738.35","15,635.95","15,722.20"
07/01/2021,"15,755.05","15,755.55","15,667.05","15,680.00"
06/30/2021,"15,776.90","15,839.10","15,708.75","15,721.50"
06/29/2021,"15,807.50","15,835.90","15,724.05","15,748.45"
06/28/2021,"15,915.35","15,915.65","15,792.15","15,814.70"
06/25/2021,"15,839.35","15,870.80","15,772.30","15,860.35"
06/24/2021,"15,737.30","15,821.40","15,702.70","15,790.45"
06/23/2021,"15,862.80","15,862.95","15,673.95","15,686.95"
06/22/2021,"15,840.50","15,895.75","15,752.10","15,772.75"
06/21/2021,"15,525.85","15,765.15","15,505.65","15,746.50"
06/18/2021,"15,756.50","15,761.50","15,450.90","15,683.35"
06/17/2021,"15,648.30","15,769.35","15,616.75","15,691.40"
06/16/2021,"15,847.50","15,880.85","15,742.60","15,767.55"
